City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Tungan Ali,9.00556,7.22194,broken clouds,36.56,36.77,29,3.04,2024-03-07 16:50:54
Toungo,8.11667,12.05,overcast clouds,34.33,34.32,33,2.82,2024-03-07 16:50:55
Tokombere,11.22713,13.48581,overcast clouds,36.97,34.11,10,2.84,2024-03-07 16:50:56
Tegina,10.0706,6.1906,overcast clouds,38.55,38.16,23,2.13,2024-03-07 16:50:57
Tambuwal,12.40386,4.64692,broken clouds,39.64,36.12,6,3.05,2024-03-07 16:50:58
Talata Mafara,12.57317,6.05971,overcast clouds,38.49,35.25,7,4.18,2024-03-07 16:50:58
Takum,7.26667,9.98333,overcast clouds,32.68,34.15,44,2.92,2024-03-07 16:50:59
Takai,11.58333,9.11667,broken clouds,37.99,35.28,12,3.2,2024-03-07 16:51:00
Suya,9.46667,3.18333,broken clouds,37.39,35.88,20,1.62,2024-03-07 16:51:01
Suleja,9.17583,7.18083,broken clouds,35.83,35.9,30,3.39,2024-03-07 16:51:01
Sokoto State,13.08333,5.25,broken clouds,39.43,36.17,8,1.9,2024-03-07 16:51:02
Sokoto,13.06092,5.23902,broken clouds,39.22,35.98,8,1.92,2024-03-07 16:51:03
Soba,10.98134,8.05749,broken clouds,33.48,32.04,26,2.88,2024-03-07 16:51:04
Siluko,6.53858,5.1609,light rain,31.51,35.96,60,2.76,2024-03-07 16:51:05
Shinkafi,13.07534,6.51046,overcast clouds,38.73,35.89,11,4.08,2024-03-07 16:51:05
Shani,10.21617,12.06198,overcast clouds,37.19,35.63,20,0.98,2024-03-07 16:51:06
Shanga,11.21062,4.57878,broken clouds,40.26,36.64,6,2.22,2024-03-07 16:51:07
Saki,8.66667,3.38333,broken clouds,35.18,34.72,29,2.83,2024-03-07 16:51:08
Shagamu,6.84323,3.64776,overcast clouds,30.76,34.11,59,3.28,2024-03-07 16:51:09
Shaffa,10.50673,12.33315,overcast clouds,35.55,32.97,13,0.58,2024-03-07 16:51:10
Sauri,11.72655,6.78374,broken clouds,36.72,35.23,21,4.23,2024-03-07 16:51:11
Sapele,5.89405,5.67666,overcast clouds,30.86,35.04,62,3.81,2024-03-07 16:51:12
Samamiya,11.34873,9.63989,broken clouds,37.46,34.65,11,2.43,2024-03-07 16:51:12
Sade,11.3595,10.6732,broken clouds,35.55,32.86,11,0.94,2024-03-07 16:51:13
Runka,12.44788,7.30918,broken clouds,37.97,36.02,17,1.54,2024-03-07 16:51:14
Ruma,12.8626,7.23469,overcast clouds,5.84,2.88,82,4.02,2024-03-07 16:51:15
Rivers State,4.74974,6.82766,light rain,31.55,36.04,60,4.32,2024-03-07 16:51:16
Riti,7.91667,9.61667,overcast clouds,36.34,37.82,34,2.29,2024-03-07 16:51:17
Ringim,12.15482,9.16192,scattered clouds,37.72,34.72,9,3.31,2024-03-07 16:51:17
Rijau,11.10298,5.25068,scattered clouds,38.29,35.01,6,2.94,2024-03-07 16:51:18
Rano,11.54912,8.57464,broken clouds,37.32,34.97,15,0.68,2024-03-07 16:51:19
Saminaka,10.41403,8.68279,broken clouds,34.82,32.85,20,0.63,2024-03-07 16:51:20
Rabah,13.12133,5.50741,overcast clouds,39.08,35.85,8,3.25,2024-03-07 16:51:22
Potiskum,11.7091,11.0694,overcast clouds,36.29,33.49,10,2.2,2024-03-07 16:51:23
Port Harcourt,4.77742,7.0134,light rain,31.34,36.12,62,4.21,2024-03-07 16:51:24
Plateau State,9.16667,9.75,broken clouds,36.29,35.44,25,4.2,2024-03-07 16:51:25
Pindiga,9.98333,10.93333,broken clouds,36.72,34.89,19,1.56,2024-03-07 16:51:27
Patigi,8.73333,5.75,light rain,36.9,38.18,32,2.74,2024-03-07 16:51:28
Patani,5.22724,6.19238,moderate rain,30.04,34.66,68,3.08,2024-03-07 16:51:29
Panyam,9.41667,9.21667,overcast clouds,29.24,28.85,40,3.45,2024-03-07 16:51:29
Pankshin,9.33333,9.45,broken clouds,31.01,29.49,27,2.33,2024-03-07 16:51:30
Ozubulu,5.95666,6.84904,overcast clouds,33.85,36.23,44,2.49,2024-03-07 16:51:31
Oyo State,8.0,4.0,overcast clouds,34.78,35.98,37,4.84,2024-03-07 16:51:32
Oyo,7.85,3.93333,overcast clouds,34.37,35.81,39,4.42,2024-03-07 16:51:32
Oyan,8.05,4.76667,overcast clouds,31.46,33.84,52,3.53,2024-03-07 16:51:33
Owode,6.94864,3.50511,overcast clouds,31.01,33.68,55,3.03,2024-03-07 16:51:34
Owo,7.1962,5.58681,light rain,29.58,32.42,62,3.68,2024-03-07 16:51:35
Owerri,5.48333,7.03041,overcast clouds,33.08,36.75,51,3.44,2024-03-07 16:51:35
Otukpa,7.08921,7.64989,overcast clouds,32.65,33.87,43,4.73,2024-03-07 16:51:36
Otta,6.66667,3.73333,clear sky,-3.69,-5.93,90,1.48,2024-03-07 16:51:37
Osogbo,7.76667,4.56667,overcast clouds,32.5,35.3,50,2.95,2024-03-07 16:51:38
Oron,4.82561,8.23434,broken clouds,30.43,35.58,68,3.52,2024-03-07 16:51:38
Orodo,5.61667,7.03333,overcast clouds,32.84,35.69,49,3.15,2024-03-07 16:51:39
Orlu,5.79464,7.03495,overcast clouds,32.84,35.43,48,2.7,2024-03-07 16:51:40
Orita Eruwa,7.55,3.43333,broken clouds,34.91,36.2,37,4.48,2024-03-07 16:51:41
Orerokpe,5.63506,5.88956,overcast clouds,31.1,35.32,61,3.49,2024-03-07 16:51:42
Ore,6.74569,4.87748,overcast clouds,30.83,34.73,61,2.53,2024-03-07 16:51:42
Opi,6.7814,7.4365,overcast clouds,30.58,31.76,49,3.95,2024-03-07 16:51:43
Onitsha,6.14543,6.78845,overcast clouds,34.27,37.34,45,3.07,2024-03-07 16:51:47
Ondo State,7.16667,5.08333,light rain,29.14,32.47,67,2.41,2024-03-07 16:51:49
Ondo,7.1,4.83333,overcast clouds,30.22,33.69,62,2.53,2024-03-07 16:51:51
Omuo-Ekiti,7.75833,5.72227,overcast clouds,31.38,32.65,47,3.64,2024-03-07 16:51:52
Omu-Aran,8.13333,5.1,overcast clouds,31.6,33,47,3.23,2024-03-07 16:51:52
Omoku,5.3435,6.65321,light rain,31.86,36.46,59,2.64,2024-03-07 16:51:53
Olupona,7.6,4.18333,broken clouds,32.94,35.89,49,3.43,2024-03-07 16:51:55
Okuta,9.21667,3.18333,broken clouds,37.13,35.95,22,1.88,2024-03-07 16:51:57
Okrika,4.74159,7.08488,light rain,31.13,36.19,64,4.47,2024-03-07 16:51:59
Oko,6.2995,5.59383,overcast clouds,31.97,35.58,55,3.12,2024-03-07 16:52:00
Okigwe,5.83523,7.35989,overcast clouds,32.89,35.52,48,2.94,2024-03-07 16:52:01
Oke Mesi,7.81667,4.91667,overcast clouds,29.98,32.22,57,2.3,2024-03-07 16:52:02
Okeho,8.03333,3.35,overcast clouds,35.09,34.8,30,2.27,2024-03-07 16:52:03
Ohunene,7.46614,6.66587,light rain,34.29,37.07,44,5.04,2024-03-07 16:52:04
Ohafia-Ifigh,5.61455,7.81191,overcast clouds,32.96,36.21,50,2.52,2024-03-07 16:52:05
Ogwashi-Uku,6.17818,6.52429,overcast clouds,31.9,34.42,51,2.9,2024-03-07 16:52:09
Oguta,5.7089,6.81026,overcast clouds,34.17,37.77,47,2.67,2024-03-07 16:52:12
Ogurugu,6.78558,6.95053,overcast clouds,33.98,37.07,46,2.46,2024-03-07 16:52:13
Ogun State,7.0,3.58333,overcast clouds,31.36,34.35,55,2.91,2024-03-07 16:52:14
Ogoja,6.65471,8.79764,overcast clouds,33.05,36.1,49,4.28,2024-03-07 16:52:15
Ogbomoso,8.13333,4.26667,broken clouds,33.83,35.65,42,4.99,2024-03-07 16:52:16
Ogaminana,7.59464,6.22476,overcast clouds,33.98,36.2,43,3.36,2024-03-07 16:52:17
Offa,8.15,4.71667,overcast clouds,31.48,33.65,51,4.01,2024-03-07 16:52:19
Ode,7.7899,5.7117,overcast clouds,31.48,32.81,47,3.41,2024-03-07 16:52:19
Ochobo,7.183,7.9769,overcast clouds,36.93,38.55,33,3.62,2024-03-07 16:52:20
Obudu,6.66737,9.17157,light rain,29.25,31.63,61,2.57,2024-03-07 16:52:21
Obubra,6.07525,8.32904,overcast clouds,33.23,36.46,49,4.23,2024-03-07 16:52:22
Obonoma,4.70844,6.79307,overcast clouds,31.34,35.85,61,4.41,2024-03-07 16:52:23
Obolo-Eke (1),6.88333,7.63333,overcast clouds,33,34.95,45,4.65,2024-03-07 16:52:24
Obiaruku,5.84671,6.15257,overcast clouds,32.42,36.24,54,3.41,2024-03-07 16:52:24
Numan,9.46667,12.03333,overcast clouds,37.62,37.08,24,1.77,2024-03-07 16:52:25
Nsukka,6.8561,7.3927,overcast clouds,31,32.42,49,3.88,2024-03-07 16:52:26
Nnewi,6.01986,6.91478,overcast clouds,33.83,36.2,44,2.45,2024-03-07 16:52:27
Nkwerre,5.75555,7.10627,overcast clouds,32.66,35.35,49,2.86,2024-03-07 16:52:28
Nkpor,6.15164,6.84458,overcast clouds,33.71,35.97,44,2.88,2024-03-07 16:52:28
Niger State,10.0,6.0,overcast clouds,39.39,39.11,22,3.42,2024-03-07 16:52:29
Federal Republic of Nigeria,10.0,8.0,broken clouds,32.55,31.73,32,3.61,2024-03-07 16:52:30
Nguru,12.8791,10.4526,broken clouds,38.2,35.16,9,2.72,2024-03-07 16:52:31
Ngurore,9.28333,12.23333,overcast clouds,37.53,36.95,24,2.84,2024-03-07 16:52:32
Ngala,12.33772,14.18052,broken clouds,35.93,33.84,18,1.07,2024-03-07 16:52:33
New Shagunnu,10.33957,4.4688,broken clouds,34.71,34.26,30,2.61,2024-03-07 16:52:34
Nasarawa,8.52944,7.72417,broken clouds,37.83,38.51,28,2.65,2024-03-07 16:52:35
Nafada,11.0956,11.3327,broken clouds,38.12,35.55,13,1.3,2024-03-07 16:52:36
Mutum Biyu,8.63333,10.76667,broken clouds,38.05,38.56,27,3.3,2024-03-07 16:52:37
Musawa,12.12717,7.6698,scattered clouds,37.85,35.55,15,1.02,2024-03-07 16:52:37
Mubi,10.26761,13.26436,broken clouds,34.52,31.96,12,1.4,2024-03-07 16:52:38
Moriki,12.87405,6.48754,overcast clouds,38.74,35.77,10,4.94,2024-03-07 16:52:39
Monguno,12.67863,13.60792,overcast clouds,33.07,31.26,23,4.26,2024-03-07 16:52:40
Mokwa,9.28333,5.05,overcast clouds,38.67,38.06,22,1.26,2024-03-07 16:52:41
Modakeke,7.38333,4.26667,overcast clouds,32.1,35.31,53,2.7,2024-03-07 16:52:42
Misau,11.3163,10.4703,broken clouds,36.11,33.38,11,1.76,2024-03-07 16:53:47
Miringa,10.73115,12.14626,overcast clouds,35.68,33.04,12,0.43,2024-03-07 16:53:48
Minna,9.61389,6.55694,overcast clouds,37.62,37.6,26,2.14,2024-03-07 16:53:49
Imeko,7.45,2.85,overcast clouds,34.27,35.9,40,4.64,2024-03-07 16:53:50
Mayo-Belwa,9.05,12.05,overcast clouds,36.42,35.84,26,2.34,2024-03-07 16:53:51
Machina,13.13639,10.04924,broken clouds,36.47,33.65,10,1.43,2024-03-07 16:53:51
Mashi,12.97844,7.95293,scattered clouds,37.88,35.58,15,1.65,2024-03-07 16:53:52
Maru,12.33417,6.40569,broken clouds,38.72,35.75,10,5.23,2024-03-07 16:53:53
Marte,12.36113,13.8246,broken clouds,34.03,32.19,22,3.97,2024-03-07 16:53:54
Mando,10.71667,6.56667,overcast clouds,35.12,34.64,29,0.98,2024-03-07 16:53:54
Malumfashi,11.78529,7.62175,scattered clouds,37.14,35.06,17,4.11,2024-03-07 16:53:55
Mallammaduri,12.565,9.95729,scattered clouds,36.77,33.93,10,1.59,2024-03-07 16:53:56
Makurdi,7.7411,8.5121,broken clouds,39.5,39.92,24,1.43,2024-03-07 16:53:57
Maiyama,12.08411,4.36766,broken clouds,39.65,36.13,6,3.27,2024-03-07 16:53:58
Maitama,9.10306,7.49444,broken clouds,35.03,34.93,31,3.79,2024-03-07 16:53:59
Maiduguri,11.84644,13.16027,broken clouds,37.44,34.4,8,2.9,2024-03-07 16:53:59
Mahuta,11.55254,4.98436,overcast clouds,22.51,23.24,93,1.73,2024-03-07 16:54:00
Magumeri,12.1131,12.8274,overcast clouds,37.13,34.19,9,3.35,2024-03-07 16:54:01
Madara,11.7798,10.4479,scattered clouds,35.98,33.21,10,1.75,2024-03-07 16:54:02
Madala,9.10444,7.21333,broken clouds,35.79,35.84,30,3.23,2024-03-07 16:54:03
Madagali,10.89018,13.63121,overcast clouds,36.15,33.36,10,3.38,2024-03-07 16:54:03
Lokoja,7.80236,6.743,overcast clouds,37.63,39.13,31,3.69,2024-03-07 16:54:04
Lere,10.38697,8.57262,broken clouds,35.08,33.26,21,1.54,2024-03-07 16:54:05
Lere,9.70889,9.33833,broken clouds,35.08,33.26,21,1.54,2024-03-07 16:54:06
Lau,9.21667,11.28333,broken clouds,39.58,38.79,20,1.62,2024-03-07 16:54:07
Lapai,9.05,6.56667,overcast clouds,38.09,38.63,27,0.31,2024-03-07 16:54:08
Langtang,9.13333,9.78333,broken clouds,37.4,37.01,25,4.13,2024-03-07 16:54:10
Lame,10.44154,9.23955,overcast clouds,36.11,33.52,13,2.62,2024-03-07 16:54:14
Lalupon,7.46667,4.06667,overcast clouds,32.93,35.87,49,3.38,2024-03-07 16:54:16
Lagos State,6.58333,3.75,overcast clouds,29.47,34,71,3.48,2024-03-07 16:54:17
Lagos,6.45306,3.39583,overcast clouds,29.47,34,71,3.48,2024-03-07 16:54:18
Lafiagi,8.86667,5.41667,overcast clouds,38.53,39.68,28,2.34,2024-03-07 16:54:19
Lafia,8.48333,8.51667,overcast clouds,37.93,38.37,27,0.82,2024-03-07 16:54:20
Kwolla,8.93333,9.28333,overcast clouds,34.46,35.7,38,3.61,2024-03-07 16:54:21
Kwatarkwashi,12.14082,6.82196,scattered clouds,38.75,36.96,17,2.85,2024-03-07 16:54:21
Kwara State,8.5,5.0,overcast clouds,35.49,36.11,33,2.64,2024-03-07 16:54:22
Kwali,8.86722,7.005,overcast clouds,37.7,38.3,28,1.89,2024-03-07 16:54:23
Kwale,5.70632,6.43741,overcast clouds,33.49,36.99,49,3.12,2024-03-07 16:54:24
Kuyi,9.66667,6.45,overcast clouds,37.98,37.87,25,2,2024-03-07 16:54:24
Kuta,9.86667,6.71667,broken clouds,25.56,26.78,100,0.51,2024-03-07 16:54:25
Kusheriki,10.53283,6.44222,overcast clouds,36.69,36,25,2.03,2024-03-07 16:54:26
Kura,11.76969,8.43033,broken clouds,37.69,35.38,15,0.38,2024-03-07 16:54:27
Kumo,10.04469,11.21217,scattered clouds,37.02,35.08,18,1.14,2024-03-07 16:54:28
Kumagunnam,13.15514,10.63423,overcast clouds,37.03,34.17,10,1.54,2024-03-07 16:54:28
Kukawa,12.92342,13.56058,broken clouds,33.04,30.91,19,4.06,2024-03-07 16:54:29
Kujama,10.45418,7.63678,broken clouds,32.39,31.67,33,1.98,2024-03-07 16:54:30
Koton-Karfe,8.1,6.8,overcast clouds,37.87,39.22,30,2.46,2024-03-07 16:54:33
Kontagora,10.39989,5.46949,overcast clouds,38.13,35.56,13,3.4,2024-03-07 16:54:33
Konkwesso,10.84686,4.09835,broken clouds,39.96,36.51,7,2.19,2024-03-07 16:54:35
Konduga,11.65583,13.42133,broken clouds,37.48,34.51,9,3.2,2024-03-07 16:54:35
Kisi,9.08333,3.85,scattered clouds,37.65,36.42,21,1.49,2024-03-07 16:54:36
Kibiya,11.52629,8.66227,broken clouds,37.56,35.1,14,0.78,2024-03-07 16:54:37
Ketu Adieowe,6.6,3.06667,broken clouds,31.7,35.29,56,4.31,2024-03-07 16:54:38
Kende,11.51966,4.2603,broken clouds,40.3,36.67,6,2.38,2024-03-07 16:54:38
Kafin Hausa,12.23753,9.90798,few clouds,36.92,34.07,10,1.14,2024-03-07 16:54:39
Keffi,8.84861,7.87361,broken clouds,37.27,37.62,28,2.78,2024-03-07 16:54:40
Kazaure,12.65131,8.41615,scattered clouds,38.57,35.73,11,4.01,2024-03-07 16:54:41
Kaura Namoda,12.58979,6.57791,broken clouds,38.7,36,12,4.57,2024-03-07 16:54:44
Katsina State,12.25,7.5,few clouds,38.12,35.69,14,2.06,2024-03-07 16:54:44
Katsina-Ala,7.16667,9.28333,overcast clouds,33.44,35.75,45,4.82,2024-03-07 16:54:46
Katsina,12.98943,7.60063,few clouds,37.95,35.66,15,1.19,2024-03-07 16:54:46
Katagum,12.2867,10.3527,clear sky,37.37,34.48,10,1.37,2024-03-07 16:54:48
Kari,11.2471,10.561,broken clouds,36.3,33.5,10,1.74,2024-03-07 16:54:49
Kano State,11.5,8.5,broken clouds,37.33,35.13,16,2.48,2024-03-07 16:54:49
Kano,12.00012,8.51672,few clouds,38.43,35.87,13,2.66,2024-03-07 16:54:50
Kankara,11.93016,7.41267,scattered clouds,37.48,35.29,16,2.1,2024-03-07 16:54:51
Kamba,11.84864,3.65761,overcast clouds,40.11,36.51,6,3.09,2024-03-07 16:54:52
Kaltungo,9.81417,11.30889,scattered clouds,36.45,34.72,20,1.38,2024-03-07 16:54:53
Kajuru,10.31921,7.68924,broken clouds,31.24,30.66,36,2.07,2024-03-07 16:54:54
Kajul,10.03176,7.9981,overcast clouds,32.48,31.64,32,3.57,2024-03-07 16:54:55
Kangiwa,12.55208,3.81867,overcast clouds,39.09,35.67,6,4.13,2024-03-07 16:54:56
Kaiama,9.6225,3.94806,scattered clouds,38.91,36.94,16,1.18,2024-03-07 16:54:56
Kagoro,9.6,8.38333,broken clouds,30.61,30.42,40,3.78,2024-03-07 16:54:57
Kafarati,10.38304,11.09567,broken clouds,36.48,34.32,17,1.79,2024-03-07 16:54:58
Kafanchan,9.58333,8.3,broken clouds,31.05,30.98,40,4.95,2024-03-07 16:54:59
Kaduna State,10.33333,7.75,broken clouds,31.57,30.93,35,2.33,2024-03-07 16:55:00
Kaduna,10.52224,7.43828,overcast clouds,32.59,32.08,34,3.59,2024-03-07 16:55:00
Kachia,9.86667,7.95,broken clouds,33.28,32.5,31,3.95,2024-03-07 16:55:01
Kabba,7.82873,6.0731,overcast clouds,32.99,34.21,42,3.94,2024-03-07 16:55:02
Jos,9.91667,8.9,overcast clouds,30.87,29.16,24,0.8,2024-03-07 16:55:03
Jimeta,9.28333,12.46667,overcast clouds,38.28,37.51,22,3.14,2024-03-07 16:55:03
Jikamshi,12.17328,7.77424,scattered clouds,37.9,35.61,15,1.41,2024-03-07 16:55:05
Jibia,13.09778,7.2225,overcast clouds,38.31,36.24,16,1.01,2024-03-07 16:55:06
Jega,12.2175,4.37917,broken clouds,39.69,36.16,6,3.09,2024-03-07 16:55:07
Jebba,9.13333,4.83333,overcast clouds,39.1,38.98,23,1.22,2024-03-07 16:55:08
Jalingo,8.88333,11.36667,broken clouds,38.19,37.91,24,1.08,2024-03-07 16:55:09
Lajere,11.97969,11.44426,overcast clouds,36.96,34.04,9,2.82,2024-03-07 16:55:10
Jagun Elesin,7.35472,3.98333,overcast clouds,32.47,35.51,51,3.72,2024-03-07 16:55:11
Iwo,7.63333,4.18333,broken clouds,33.06,36.12,49,3.6,2024-03-07 16:55:12
Itu,5.2004,7.98475,broken clouds,28.88,30.83,60,3.9,2024-03-07 16:55:12
Isieke,6.37831,8.03524,overcast clouds,35.57,38.3,40,5.69,2024-03-07 16:55:13
Iseyin,7.96667,3.6,overcast clouds,35.71,35.96,31,3.06,2024-03-07 16:55:14
Ise-Ekiti,7.4632,5.4281,overcast clouds,30.53,33.22,57,2.72,2024-03-07 16:55:15
Isara,6.99281,3.68185,overcast clouds,30.92,33.74,56,2.95,2024-03-07 16:55:16
Isanlu-Itedoijowa,8.26667,5.83333,light rain,28.38,30.03,60,0.9,2024-03-07 16:55:17
Ipoti,7.87377,5.07692,overcast clouds,29.34,31.13,57,2.73,2024-03-07 16:55:17
Iperu,6.91002,3.66557,overcast clouds,30.7,33.76,58,3.13,2024-03-07 16:55:18
Inisa,7.85,4.33333,broken clouds,32.79,35.07,47,4.09,2024-03-07 16:55:19
Imo State,5.5,7.16667,overcast clouds,32.85,35.99,50,3.42,2024-03-07 16:55:20
Ilorin,8.5,4.55,overcast clouds,35.38,37.02,37,5.02,2024-03-07 16:55:21
Ilobu,7.83333,4.48333,overcast clouds,32.87,35.48,48,3.62,2024-03-07 16:55:23
Illushi,6.6667,6.63076,light rain,33.52,37.05,49,2.68,2024-03-07 16:55:23
Illela,13.72918,5.29752,scattered clouds,39.21,35.86,7,1.67,2024-03-07 16:55:24
Ilesa,7.61667,4.73333,overcast clouds,31.2,33.82,54,1.86,2024-03-07 16:55:25
Ilaro,6.88653,3.0205,overcast clouds,31.84,35.31,55,4.25,2024-03-07 16:55:26
Ilare,7.35067,5.11333,light rain,29.48,32.41,63,1.98,2024-03-07 16:55:27
Ila Orangun,8.01667,4.9,overcast clouds,30.84,32.95,53,3.45,2024-03-07 16:55:28
Ikot Ekpene,5.17938,7.71082,light rain,32.05,36.3,57,2.75,2024-03-07 16:55:28
Ikom,5.96669,8.70632,overcast clouds,30.68,34.65,62,0.1,2024-03-07 16:55:29
Ikirun,7.91667,4.66667,overcast clouds,31.96,34.53,51,3.17,2024-03-07 16:55:30
Ikire,7.35,4.18333,overcast clouds,32.34,35.79,53,3.02,2024-03-07 16:55:31
Ikere-Ekiti,7.49133,5.23225,overcast clouds,29.7,32.65,62,1.3,2024-03-07 16:55:32
Ikem,6.77903,7.71685,overcast clouds,33.99,36.21,43,4.73,2024-03-07 16:55:33
Ikeja,6.59422,3.33748,overcast clouds,30.4,34.52,64,4.78,2024-03-07 16:55:35
Ikang,4.78978,8.5316,broken clouds,30.59,35.2,65,4.19,2024-03-07 16:55:38
Ijero-Ekiti,7.8139,5.0742,light rain,29.75,32.18,59,2.49,2024-03-07 16:55:39
Ijebu-Ode,6.81609,3.91588,overcast clouds,30.06,33.57,63,2.81,2024-03-07 16:55:41
Ijebu-Jesa,7.68333,4.81667,overcast clouds,30.96,33.81,56,1.79,2024-03-07 16:55:42
Ijebu-Igbo,6.9798,4.00329,light rain,29.45,32.92,66,2.55,2024-03-07 16:55:47
Ijebu-Ife,6.77837,4.03386,overcast clouds,30.04,33.97,65,2.61,2024-03-07 16:55:48
Iho,5.56667,7.1,overcast clouds,32.74,35.77,50,3.29,2024-03-07 16:55:49
Ihiala,5.85377,6.86026,overcast clouds,33.6,36.04,45,2.55,2024-03-07 16:55:50
Igede-Ekiti,7.66676,5.13205,overcast clouds,28.65,30.59,61,2.04,2024-03-07 16:55:51
Igbo-Ukwu,6.01669,7.02654,broken clouds,32.4,33.68,44,2.38,2024-03-07 16:55:52
Igbor,7.4527,8.6098,overcast clouds,37.72,38.34,28,3.51,2024-03-07 16:55:52
Igbo-Ora,7.43333,3.28333,overcast clouds,34.36,35.79,39,4.33,2024-03-07 16:55:53
Igboho,8.83333,3.75,scattered clouds,36.05,35.54,27,2.71,2024-03-07 16:55:54
Igbeti,8.75,4.13333,broken clouds,37.47,36.87,24,1.64,2024-03-07 16:55:55
Igbara-Odo,7.50251,5.06258,overcast clouds,30.24,33.3,60,1.16,2024-03-07 16:55:56
Igarra,7.2827,6.0878,overcast clouds,33.07,35.33,46,3.1,2024-03-07 16:55:57
Igabi,10.78887,7.77493,broken clouds,32.53,31.56,31,1.03,2024-03-07 16:55:58
Ifon,6.92412,5.77603,light rain,29.36,32.74,66,2.48,2024-03-07 16:56:01
Ifo,6.81437,3.19575,overcast clouds,31.87,35.11,54,4.16,2024-03-07 16:56:02
Ifira,10.70113,7.29455,overcast clouds,32.99,32.45,33,2.34,2024-03-07 16:56:03
Ile-Ife,7.46667,4.56667,overcast clouds,31.38,34.64,56,2.16,2024-03-07 16:56:05
Ifaki,7.78942,5.24852,overcast clouds,28.84,30.77,60,2.85,2024-03-07 16:56:06
Idiroko,6.63333,2.73333,broken clouds,31.35,35.34,59,4.91,2024-03-07 16:56:07
Idanre,7.1127,5.1159,light rain,28.29,31.24,70,2.18,2024-03-07 16:56:07
Idah,7.10651,6.73415,overcast clouds,34.28,37.05,44,2.71,2024-03-07 16:56:08
Icheu,7.7067,6.7718,overcast clouds,37.07,39.13,34,3.58,2024-03-07 16:56:09
Ibi,8.18333,9.75,broken clouds,10.48,9.7,81,2.17,2024-03-07 16:56:10
Ibeto,10.48536,5.14502,broken clouds,38.39,35.69,12,1.98,2024-03-07 16:56:11
Ibadan,7.38778,3.89639,overcast clouds,32.57,35.18,49,4.04,2024-03-07 16:56:12
Hunkuyi,11.26676,7.65118,broken clouds,33.66,32.25,26,3.76,2024-03-07 16:56:14
Holma,9.90083,13.05667,broken clouds,35.04,32.69,16,0.81,2024-03-07 16:56:14
Hinna,10.30426,11.49905,scattered clouds,38.76,36.97,17,2.19,2024-03-07 16:56:19
Heipang,9.63333,8.88333,overcast clouds,28.77,28.14,37,2.75,2024-03-07 16:56:20
Hadejia,12.4498,10.0444,scattered clouds,36.87,34.02,10,1.2,2024-03-07 16:56:22
Gwoza,11.10359,13.71298,overcast clouds,36.72,33.88,10,4.01,2024-03-07 16:56:23
Gwio Kura,12.6753,11.0682,broken clouds,36.99,34.07,9,2.27,2024-03-07 16:56:24
Gwasero,9.48333,3.5,broken clouds,38.14,36.42,18,0.75,2024-03-07 16:56:24
Gwarzo,11.91521,7.9346,scattered clouds,37.66,35.5,16,2.82,2024-03-07 16:56:25
Gwaram,11.27639,9.88583,broken clouds,37.19,34.32,10,2.68,2024-03-07 16:56:26
Gwaram,10.23295,10.28572,broken clouds,37.19,34.32,10,2.68,2024-03-07 16:56:27
Gwandu,12.49382,4.64227,broken clouds,39.71,36.18,6,3,2024-03-07 16:56:28
Gwadabawa,13.35612,5.23664,broken clouds,39.11,35.88,8,1.17,2024-03-07 16:56:29
Gusau,12.16278,6.66135,scattered clouds,38.99,37.04,16,3.01,2024-03-07 16:56:30
Gummi,12.14358,5.10809,broken clouds,39.49,36.22,8,1.38,2024-03-07 16:56:30
Gumel,12.62791,9.39119,scattered clouds,36.88,34.03,10,1.77,2024-03-07 16:56:31
Gulma,12.64231,4.35545,broken clouds,39.61,36.1,6,3.57,2024-03-07 16:56:32
Gujba,11.5032,11.9367,broken clouds,36.89,33.98,9,3.61,2024-03-07 16:56:33
Goronyo,13.44232,5.67632,overcast clouds,39.11,35.88,8,2.5,2024-03-07 16:56:34
Gorgoram,12.6398,10.7039,few clouds,38.62,35.44,8,1.51,2024-03-07 16:57:40
Gora,11.91294,7.6653,scattered clouds,3.42,0.01,61,3.85,2024-03-07 16:57:40
Goniri,11.48333,12.31444,broken clouds,36.63,33.8,10,2.93,2024-03-07 16:57:41
Gombi,10.16138,12.7399,broken clouds,35.83,33.18,12,1.79,2024-03-07 16:57:42
Gombe,10.28969,11.16729,broken clouds,36.74,34.75,18,1.94,2024-03-07 16:57:43
Gidan Sarkin Gardi,12.07433,6.405,scattered clouds,38.78,36.41,14,3.99,2024-03-07 16:57:45
Gembu,6.7,11.26667,overcast clouds,26.22,26.22,43,3.46,2024-03-07 16:57:46
Geidam,12.897,11.9304,broken clouds,37.42,34.45,9,3.95,2024-03-07 16:57:46
Gbongan,7.46667,4.35,overcast clouds,32.16,35.7,54,2.5,2024-03-07 16:57:47
Gaya,11.86136,8.99714,haze,15.95,15.48,72,0,2024-03-07 16:57:48
Gassol,8.53333,10.46667,overcast clouds,37.97,38.74,28,2.79,2024-03-07 16:57:49
Gashua,12.871,11.0482,broken clouds,37.74,34.74,9,2.59,2024-03-07 16:57:49
Garko,10.17506,11.16458,broken clouds,36.65,34.65,18,1.47,2024-03-07 16:57:50
Ganye,8.43333,12.06667,overcast clouds,34.57,34.26,31,2.33,2024-03-07 16:57:51
