City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Lapai,9.05,6.56667,overcast clouds,39.03,41.69,31,2.42,2024-03-07 13:30:12
Langtang,9.13333,9.78333,overcast clouds,39.72,39.92,23,2.36,2024-03-07 13:30:13
Lame,10.44154,9.23955,overcast clouds,39.13,36.62,13,3.35,2024-03-07 13:30:15
Lalupon,7.46667,4.06667,broken clouds,33.01,38.84,58,4.63,2024-03-07 13:30:16
Lagos State,6.58333,3.75,overcast clouds,33.18,39.61,59,3.19,2024-03-07 13:30:16
Lagos,6.45306,3.39583,overcast clouds,33.18,39.61,59,3.19,2024-03-07 13:30:17
Lafiagi,8.86667,5.41667,overcast clouds,39.41,42.42,31,3.19,2024-03-07 13:30:18
Lafia,8.48333,8.51667,overcast clouds,37.98,40.48,33,2.41,2024-03-07 13:30:19
Kwolla,8.93333,9.28333,overcast clouds,39.38,40.41,26,4.29,2024-03-07 13:30:20
Kwatarkwashi,12.14082,6.82196,scattered clouds,39.34,37.68,17,3.31,2024-03-07 13:30:21
Kwara State,8.5,5.0,overcast clouds,36.15,38.1,36,3.85,2024-03-07 13:30:22
Kwali,8.86722,7.005,overcast clouds,34.94,35.48,34,2.12,2024-03-07 13:30:23
Kwale,5.70632,6.43741,overcast clouds,33.85,37.74,49,3.11,2024-03-07 13:30:25
Kuyi,9.66667,6.45,broken clouds,37.67,39.89,33,3.13,2024-03-07 13:30:26
Kuta,9.86667,6.71667,broken clouds,30,37,84,3.6,2024-03-07 13:30:27
Kusheriki,10.53283,6.44222,overcast clouds,37.28,38.22,30,3.2,2024-03-07 13:30:28
Kura,11.76969,8.43033,clear sky,40.76,38.41,13,0.77,2024-03-07 13:30:29
Kumo,10.04469,11.21217,overcast clouds,39.27,38.93,22,2.6,2024-03-07 13:30:31
Kumagunnam,13.15514,10.63423,overcast clouds,41.18,37.57,7,3.18,2024-03-07 13:30:32
Kukawa,12.92342,13.56058,overcast clouds,38.53,35.83,12,5.86,2024-03-07 13:30:33
Kujama,10.45418,7.63678,few clouds,37.67,36.67,22,3.27,2024-03-07 13:30:34
Koton-Karfe,8.1,6.8,overcast clouds,38.04,41.36,35,3.11,2024-03-07 13:30:35
Kontagora,10.39989,5.46949,overcast clouds,39.55,38.47,19,2.71,2024-03-07 13:30:36
Konkwesso,10.84686,4.09835,overcast clouds,41.45,37.8,7,2.08,2024-03-07 13:30:37
Konduga,11.65583,13.42133,broken clouds,42.04,38.32,7,6.01,2024-03-07 13:30:39
Kisi,9.08333,3.85,scattered clouds,38.84,38.03,21,1.81,2024-03-07 13:30:40
Kibiya,11.52629,8.66227,clear sky,40.58,38.21,13,1.24,2024-03-07 13:30:42
Ketu Adieowe,6.6,3.06667,overcast clouds,32.95,36.48,51,4.38,2024-03-07 13:30:44
Kende,11.51966,4.2603,clear sky,40.54,36.87,6,3.53,2024-03-07 13:30:46
Kafin Hausa,12.23753,9.90798,scattered clouds,40.66,37.11,7,1.26,2024-03-07 13:30:49
Keffi,8.84861,7.87361,overcast clouds,37.7,39.6,32,2.33,2024-03-07 13:30:52
Kazaure,12.65131,8.41615,scattered clouds,40.49,37.67,11,0.86,2024-03-07 13:30:56
Kaura Namoda,12.58979,6.57791,few clouds,40.53,38.39,14,3.9,2024-03-07 13:30:58
Katsina State,12.25,7.5,few clouds,39.42,37.33,15,1.64,2024-03-07 13:30:59
Katsina-Ala,7.16667,9.28333,overcast clouds,34.54,37.25,43,4.8,2024-03-07 13:31:00
Katsina,12.98943,7.60063,broken clouds,39.32,37.01,14,2.67,2024-03-07 13:31:01
Katagum,12.2867,10.3527,clear sky,40.77,37.21,7,1.92,2024-03-07 13:31:02
Kari,11.2471,10.561,overcast clouds,39.79,36.49,8,1.98,2024-03-07 13:31:03
Kano State,11.5,8.5,clear sky,40.61,38.24,13,0.87,2024-03-07 13:31:04
Kano,12.00012,8.51672,broken clouds,39.65,37.38,14,0.92,2024-03-07 13:31:05
Kankara,11.93016,7.41267,clear sky,39.3,36.99,14,1.45,2024-03-07 13:31:06
Kamba,11.84864,3.65761,overcast clouds,40.3,36.67,6,2.48,2024-03-07 13:31:07
Kaltungo,9.81417,11.30889,broken clouds,38.2,37.4,22,3.56,2024-03-07 13:31:08
Kajuru,10.31921,7.68924,clear sky,37.71,36.73,22,3.16,2024-03-07 13:31:10
Kajul,10.03176,7.9981,overcast clouds,37.27,35.93,21,2.48,2024-03-07 13:31:11
Kangiwa,12.55208,3.81867,overcast clouds,40.29,36.54,5,3.08,2024-03-07 13:31:12
Kaiama,9.6225,3.94806,broken clouds,39.94,38.44,17,0.88,2024-03-07 13:31:13
Kagoro,9.6,8.38333,overcast clouds,35.36,34.77,28,2.44,2024-03-07 13:31:14
Kafarati,10.38304,11.09567,overcast clouds,38.82,37.04,17,1.74,2024-03-07 13:31:15
Kafanchan,9.58333,8.3,overcast clouds,35.99,35.45,27,2.72,2024-03-07 13:31:17
Kaduna State,10.33333,7.75,clear sky,37.95,37.05,22,3.09,2024-03-07 13:31:19
Kaduna,10.52224,7.43828,scattered clouds,37.68,37.17,24,3.38,2024-03-07 13:31:20
Kachia,9.86667,7.95,overcast clouds,37.42,36.56,23,2.79,2024-03-07 13:31:21
Kabba,7.82873,6.0731,overcast clouds,33.81,35.62,42,3.16,2024-03-07 13:31:22
Jos,9.91667,8.9,overcast clouds,34.12,32.19,21,1.78,2024-03-07 13:31:23
Jimeta,9.28333,12.46667,clear sky,40.13,44.81,33,7.72,2024-03-07 13:31:25
Jikamshi,12.17328,7.77424,scattered clouds,39.29,36.98,14,1.65,2024-03-07 13:31:25
Jibia,13.09778,7.2225,overcast clouds,38.82,36.46,14,2.04,2024-03-07 13:31:26
Jega,12.2175,4.37917,broken clouds,40.7,36.87,5,3.44,2024-03-07 13:31:27
Jebba,9.13333,4.83333,overcast clouds,40.58,41.28,23,1.31,2024-03-07 13:31:28
Jalingo,8.88333,11.36667,broken clouds,39.91,40.93,25,2.2,2024-03-07 13:31:29
Lajere,11.97969,11.44426,overcast clouds,41.61,37.76,6,3.7,2024-03-07 13:31:30
Jagun Elesin,7.35472,3.98333,broken clouds,33.15,39.18,58,4.63,2024-03-07 13:31:31
Iwo,7.63333,4.18333,broken clouds,32.84,34.42,44,3.28,2024-03-07 13:31:31
Itu,5.2004,7.98475,overcast clouds,25.51,25.79,64,2.79,2024-03-07 13:31:32
Isieke,6.37831,8.03524,overcast clouds,38.23,40.95,33,2.97,2024-03-07 13:31:33
Iseyin,7.96667,3.6,overcast clouds,34.74,37.03,41,3.7,2024-03-07 13:31:34
Ise-Ekiti,7.4632,5.4281,overcast clouds,33.43,36,46,2.73,2024-03-07 13:31:34
Isara,6.99281,3.68185,overcast clouds,34.08,37.58,47,3.06,2024-03-07 13:31:35
Isanlu-Itedoijowa,8.26667,5.83333,overcast clouds,36.67,38.73,35,3.66,2024-03-07 13:31:36
Ipoti,7.87377,5.07692,overcast clouds,31.68,33.56,49,2.67,2024-03-07 13:31:37
Iperu,6.91002,3.66557,overcast clouds,33.96,37.65,48,2.96,2024-03-07 13:31:38
Inisa,7.85,4.33333,scattered clouds,35.55,37.94,39,3.63,2024-03-07 13:31:39
Imo State,5.5,7.16667,light rain,33.89,36.89,46,1.98,2024-03-07 13:31:39
Ilorin,8.5,4.55,few clouds,36.2,41.89,46,6.69,2024-03-07 13:31:40
Ilobu,7.83333,4.48333,overcast clouds,35.71,38.57,40,3.58,2024-03-07 13:31:41
Illushi,6.6667,6.63076,overcast clouds,35.74,39.32,42,2.69,2024-03-07 13:31:42
Illela,13.72918,5.29752,overcast clouds,40.96,37.07,5,2.72,2024-03-07 13:31:43
Ilesa,7.61667,4.73333,overcast clouds,32.88,35.77,49,2.85,2024-03-07 13:31:44
Ilaro,6.88653,3.0205,overcast clouds,32.62,34.52,46,2.88,2024-03-07 13:31:44
Ilare,7.35067,5.11333,overcast clouds,33.32,36.07,47,2.03,2024-03-07 13:31:45
