City,Latitude,Longitude
Igbara-Odo,7.50251,5.06258
Igarra,7.2827,6.0878
Igabi,10.78887,7.77493
Ifon,6.92412,5.77603
Ifo,6.81437,3.19575
Ifira,10.70113,7.29455
Ile-Ife,7.46667,4.56667
Ifaki,7.78942,5.24852
Idiroko,6.63333,2.73333
Idanre,7.1127,5.1159
Idah,7.10651,6.73415
Icheu,7.7067,6.7718
Ibi,8.18333,9.75
Ibeto,10.48536,5.14502
Ibadan,7.38778,3.89639
Hunkuyi,11.26676,7.65118
Holma,9.90083,13.05667
Hinna,10.30426,11.49905
Heipang,9.63333,8.88333
Hadejia,12.4498,10.0444
Gwoza,11.10359,13.71298
Gwio Kura,12.6753,11.0682
Gwasero,9.48333,3.5
Gwarzo,11.91521,7.9346
Gwaram,11.27639,9.88583
Gwaram,10.23295,10.28572
Gwandu,12.49382,4.64227
Gwadabawa,13.35612,5.23664
Gusau,12.16278,6.66135
Gummi,12.14358,5.10809
Gumel,12.62791,9.39119
Gulma,12.64231,4.35545
Gujba,11.5032,11.9367
Goronyo,13.44232,5.67632
Gorgoram,12.6398,10.7039
Gora,11.91294,7.6653
Goniri,11.48333,12.31444
Gombi,10.16138,12.7399
Gombe,10.28969,11.16729
Gidan Sarkin Gardi,12.07433,6.405
Gembu,6.7,11.26667
Geidam,12.897,11.9304
Gbongan,7.46667,4.35
Gaya,11.86136,8.99714
Gassol,8.53333,10.46667
Gashua,12.871,11.0482
Garko,10.17506,11.16458
Ganye,8.43333,12.06667
Gandi,12.96358,5.74337
Gamboru,12.37066,14.21731
Gamawa,12.1343,10.5396
Gakem,6.76578,8.98813
Gagarawa,12.40741,9.5277
Gabarin,11.1093,10.4441
Funtua,11.52325,7.30813
Fili,8.43333,4.5
Fiditi,7.71361,3.91722
Ezza-Ohu,6.4373,8.0862
Eyamba Town,4.44253,7.16747
Etinan,4.84262,7.85252
Ete,7.05,7.45
Esuk Oron,4.80293,8.25341
Epe,6.58412,3.98336
Enugu-Ukwu,6.17851,7.01156
Enugu-Ezike,6.9825,7.457
Enugu,6.4402,7.4943
Emure-Ekiti,7.43614,5.45932
Emene,6.4762,7.5851
Emagiti,9.06667,6.03333
Elelem,5.26566,7.14768
Elele,5.1009,6.81411
Ekpoma,6.74206,6.139
Eket,4.64122,7.92092
Ejirin,6.61423,3.90019
Ejigbo,7.9,4.31667
Eha Amufu,6.65915,7.75961
Egbe,8.21667,5.51667
Efon-Alaaye,7.65,4.91667
Effium,6.62917,8.05925
Ebute Ikorodu,6.60086,3.48818
Dutsin-Ma,12.45167,7.49805
Dutsen Wai,10.85009,8.199
Dutse,11.7594,9.33921
Duku,11.2361,4.90727
Dukku,10.82306,10.77167
Doma,8.38333,8.35
Disina,11.48135,9.91903
Dindima,10.22629,10.15132
Dillala,13.108,11.5703
Dikwa,12.02396,13.91646
Dengi,9.36667,9.95
Dekina,7.69475,7.02218
Deba,10.20864,11.38586
Daura,13.03594,8.31631
Daura,11.5538,11.4085
Darazo,10.99375,10.41179
Dapchi,12.4904,11.4944
Dan Sadau,11.29621,6.4952
Dankama,13.29782,7.79492
Dankalwa,11.7443,12.1867
Danja,11.37643,7.56249
Dan Gora,11.53485,8.15224
Dange,12.85128,5.34705
Damboa,11.15604,12.75758
Dambatta,12.43303,8.51541
Damaturu,11.747,11.9608
Damasak,13.09771,12.4952
Dakingari,11.64511,4.06046
Dadiya,9.61667,11.43333
Dabai,11.47652,5.20625
Cross River State,5.75,8.5
Tsafe,11.95527,6.92232
Calabar,4.9517,8.322
Burutu,5.35091,5.50758
Burumburum,11.39106,8.72341
Bunza,12.08444,4.02111
Bununu,9.86806,9.66278
Dass,10.0,9.51667
Bukuru,9.8,8.86667
Buguma,4.73407,6.86345
Buga,8.49056,7.34139
Twon-Brass,4.31506,6.24176
Bornu Yassu,12.2774,12.5552
Borno State,11.5,13.0
Bori,4.67366,7.36201
Ugbokpo,7.6565,7.8664
Bonny,4.4522,7.16808
Bomadi,5.15931,5.92516
Bolori,11.88259,13.08901
Bokkos,9.3,9.0
Bokani,9.43333,5.2
Boju,7.37834,7.91119
Boi,9.56833,9.49528
Bode Saadu,8.93333,4.78333
Biu,10.61285,12.19458
Birniwa,12.7903,10.2348
Birnin Kudu,11.44588,9.4984
Birnin Kebbi,12.45389,4.1975
Sofo-Birnin-Gwari,11.01537,6.78036
Birim,10.062094,9.997027
Bin Yauri,10.7823,4.81135
Binji,13.22277,4.90955
Billiri,9.86472,11.22528
Bida,9.08333,6.01667
Benue State,7.33333,8.75
Benisheikh,11.8072,12.4909
Benin City,6.33504,5.62749
Bende,5.55718,7.63676
Bena,11.28444,5.93472
Beli,7.85868,10.97187
Bebeji,11.66726,8.26217
Bauchi State,10.5,10.0
Bauchi,10.31344,9.84327
Batsari,12.75147,7.24472
Baro,8.6,6.41667
Bara,10.37444,10.72884
Bama,11.5221,13.68558
Bakori,11.55445,7.42425
Baissa,7.23333,10.63333
Bagudo,11.40329,4.22958
Bugana,7.99917,7.58361
Badeggi,9.05,6.15
Badakoshi,10.54648,10.01186
Badagry,6.41667,2.88333
Babura,12.77305,9.01583
Babana,10.42949,3.81495
Azare,11.6765,10.1948
Awka,6.21009,7.07411
Awgu,6.0742,7.4786
Auna,10.18805,4.72318
Auchi,7.06667,6.26667
Asaba,6.20064,6.73384
Arochukwu,5.38979,7.91404
Argungu,12.74334,4.52687
Aramoko-Ekiti,7.70927,5.04474
Apomu,7.33333,4.18333
Ankpa,7.37058,7.6253
Anka,12.11381,5.92427
Anchau,10.95967,8.39155
Anambra State,6.33333,7.0
Amper,9.35,9.7
Amassoma,4.96917,6.10972
Amaigbo,5.78917,7.83829
Amagunze,6.3267,7.6539
Aliade,7.2964,8.487
Alapa,8.61667,4.38333
Akwanga,8.91667,8.38333
Akwa Ibom State,5.0,7.83333
Akure,7.25256,5.19312
Aku,6.7081,7.3167
Akko,10.28899,10.9732
Ake-Eze,5.91677,7.67615
Akankpa,5.1264,8.1898
Ajibo,7.46667,4.28333
Ajasse Ipo,8.23333,4.81667
Ajaokuta,7.56229,6.65497
Ahoada,5.07395,6.65353
Agulu,6.11,7.0724
Ago-Are,8.5,3.41667
Agenebode,7.106,6.6966
Agbor,6.25183,6.19337
Agbabu,6.58862,4.8343
Agaie,9.01667,6.31667
Afikpo,5.89312,7.93735
Adoru,6.97661,7.16268
Ado-Odo,6.6,2.93333
Ado-Ekiti,7.621,5.2215
Adani,6.73971,7.01117
Federal Capital Territory,8.83333,7.16667
Abuja,9.05735,7.48976
Abraka,5.79023,6.10473
Abocho,7.5677,6.9863
Abeokuta,7.15,3.35
Abakaliki,6.31625,8.11691
Abak,4.9797,7.79171
Aba,5.10658,7.36667
Abia State,5.41667,7.5
Delta State,5.5,6.0
Adamawa State,9.33333,12.5
Edo,6.5,6.0
Enugu State,6.5,7.5
Jigawa State,12.0,9.75
Shogunle,6.57806,3.33444
Imogwu,4.98174,6.94338
Degema Hulk,4.76254,6.752
Orogbum,4.79071,7.01174
Takurza,12.06425,8.53179
Bayelsa State,4.75,6.08333
Ebonyi State,6.25,8.08333
Ekiti State,7.66667,5.25
Gombe State,10.25,11.16667
Nasarawa State,8.5,8.25
Zamfara State,12.16667,6.25
Kebbi State,11.5,4.0
Kogi State,7.75,6.75
Osun State,7.5,4.5
Taraba State,8.0,10.5
Yobe State,12.0,11.5
Alodifi,7.2452,5.2956
Ishie Town,4.9936,8.3372
Hanwa,11.11861,7.70193
Sire,12.9299,5.20428
Afaha Oku,5.04827,7.9217
